Node Name	Sockets	Threads	Cores	Logical Cores	Memory in GB	CPU
cmp201	2	2	6	24	72	Intel X5650
cmp202	2	2	6	24	72	Intel X5650
cmp203	2	2	6	24	72	Intel X5650
cmp204	2	2	6	24	72	Intel X5650
cmp205	2	2	6	24	144	Intel X5650
cmp206	2	2	6	24	72	Intel X5650
cmp207	2	2	6	24	72	Intel X5650
cmp208	2	2	6	24	72	Intel X5650
cmp209	2	2	6	24	72	Intel X5650
cmp210	2	2	6	24	72	Intel X5650
cmp211	2	2	6	24	72	Intel X5650
cmp212	2	2	6	24	72	Intel X5650
cmp213	4	2	8	64	256	AMD FX6274
cmp214	4	2	8	64	256	AMD FX6274
cmp215	4	2	8	64	256	AMD FX6274
cmp216	4	2	8	64	256	AMD FX6274
cmp217	4	2	8	64	256	AMD FX6274
cmp218	4	2	8	64	256	AMD FX6274
cmp219	4	2	8	64	256	AMD FX6274
cmp220	4	2	8	64	256	AMD FX6274
cmp221	2	2	6	24	72	Intel X5650
cmp222	2	2	6	24	72	Intel X5650
cmp223	2	2	6	24	72	Intel X5650
cmp224	2	2	6	24	72	Intel X5650
cmp225	2	2	6	24	72	Intel X5650
cmp226	2	2	6	24	72	Intel X5650
cmp227	2	1	4	8	64	Intel E5-2640
cmp228	2	1	4	8	64	Intel E5-2640
cmp229	2	1	4	8	64	Intel E5-2640
cmp230	2	1	4	32	320	Intel E5-2690v2
cmp239	2	2	8	32	512	Intel E5-2690v2
cmp241	2	2	10	40	160	Intel E5-2690v2
cmp242	2	2	10	40	160	Intel E5-2690v2
cmp243	2	2	4	16	72	Intel X5570
cmp244	2	2	4	16	72	Intel X5570
cmp245	2	2	10	40	512	Intel E5-2660v3
cmp246	2	2	10	40	512	Intel E5-2660v3
cmp247	2	2	14	58	128	Intel E5-2697v3
cmp248	2	2	14	58	128	Intel E5-2697v3
cmp249	2	2	12	48	756	Intel Xeon Gold 5118
cmp250	2	2	12	48	756	Intel Xeon Gold 5118
cmp251	2	2	12	48	756	Intel Xeon Gold 5118